_id,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
1,2,1,REGULAR,18510,2021-03-27T00:00:00Z
2,5,5,EXCELENTE,52143,2023-03-25T00:00:00Z
3,1,1,DEFICIENTE,6907760,2022-03-19T00:00:00Z
4,2,1,REGULAR,9187084,2021-06-25T00:00:00Z
5,3,2,ACEPTABLE,17256,2023-12-28T00:00:00Z
6,5,5,EXCELENTE,18570,2021-12-09T00:00:00Z
7,1,1,DEFICIENTE,17647,2021-02-22T00:00:00Z
8,1,2,REGULAR,52103,2022-12-15T00:00:00Z
9,1,1,DEFICIENTE,52195,2021-10-07T00:00:00Z
10,2,2,ACEPTABLE,52223,2023-05-24T00:00:00Z
11,1,1,DEFICIENTE,18345,2021-05-30T00:00:00Z
12,2,2,ACEPTABLE,18371,2023-08-13T00:00:00Z
13,5,5,EXCELENTE,16716,2023-09-15T00:00:00Z
14,4,4,EXCELENTE,4749900,2021-03-02T00:00:00Z
15,5,4,EXCELENTE,18055,2022-05-19T00:00:00Z
16,2,2,ACEPTABLE,18099,2021-04-13T00:00:00Z
17,5,4,EXCELENTE,17373,2021-01-19T00:00:00Z
18,1,1,DEFICIENTE,18330,2022-04-12T00:00:00Z
19,5,5,EXCELENTE,17407,2022-06-29T00:00:00Z
20,5,5,EXCELENTE,16677,2022-07-22T00:00:00Z
21,5,5,EXCELENTE,18435,2022-08-11T00:00:00Z
22,5,4,EXCELENTE,17300,2023-05-04T00:00:00Z
23,5,4,EXCELENTE,18378,2021-07-17T00:00:00Z
24,1,1,DEFICIENTE,18278,2023-07-31T00:00:00Z
25,4,4,EXCELENTE,17409,2021-12-15T00:00:00Z
26,2,1,REGULAR,17977,2023-01-03T00:00:00Z
27,2,2,ACEPTABLE,17685,2023-11-04T00:00:00Z
28,1,1,DEFICIENTE,52158,2022-09-26T00:00:00Z
29,4,3,MUY BUENO,17555,2021-09-08T00:00:00Z
30,5,5,EXCELENTE,17760,2021-04-27T00:00:00Z
31,2,2,ACEPTABLE,3991087,2022-11-04T00:00:00Z
32,4,3,MUY BUENO,18620,2021-03-26T00:00:00Z
33,3,4,MUY BUENO,17008,2023-01-04T00:00:00Z
34,2,1,REGULAR,18083,2023-10-08T00:00:00Z
35,3,3,MUY BUENO,18630,2021-06-10T00:00:00Z
36,1,2,REGULAR,17045,2022-08-17T00:00:00Z
37,2,2,ACEPTABLE,17419,2022-11-13T00:00:00Z
38,1,1,DEFICIENTE,3558513,2023-01-31T00:00:00Z
39,2,1,REGULAR,18351,2023-09-17T00:00:00Z
40,4,4,EXCELENTE,17092,2023-02-23T00:00:00Z
41,4,4,EXCELENTE,17783,2022-11-30T00:00:00Z
42,4,3,MUY BUENO,18528,2021-01-23T00:00:00Z
43,2,2,ACEPTABLE,5195695,2022-02-13T00:00:00Z
44,3,2,ACEPTABLE,17858,2021-08-27T00:00:00Z
45,3,4,MUY BUENO,18410,2021-06-26T00:00:00Z
46,1,1,DEFICIENTE,18557,2023-08-16T00:00:00Z
47,2,2,ACEPTABLE,16967,2021-10-25T00:00:00Z
48,1,1,DEFICIENTE,18193,2023-08-25T00:00:00Z
49,4,4,EXCELENTE,17862,2023-06-12T00:00:00Z
50,5,4,EXCELENTE,18395,2021-05-21T00:00:00Z
51,1,2,REGULAR,7928019,2021-07-24T00:00:00Z
52,1,1,DEFICIENTE,8907322,2023-12-28T00:00:00Z
53,3,4,MUY BUENO,4749896,2023-06-13T00:00:00Z
54,4,5,EXCELENTE,17362,2023-04-15T00:00:00Z
55,5,4,EXCELENTE,6819626,2023-03-26T00:00:00Z
56,1,1,DEFICIENTE,52167,2022-06-18T00:00:00Z
57,3,3,MUY BUENO,17675,2021-01-13T00:00:00Z
58,4,5,EXCELENTE,17139,2022-04-19T00:00:00Z
59,1,2,REGULAR,17742,2021-03-26T00:00:00Z
60,5,5,EXCELENTE,5654057,2022-04-18T00:00:00Z
61,3,4,MUY BUENO,18011,2023-11-19T00:00:00Z
62,3,2,ACEPTABLE,18149,2021-05-13T00:00:00Z
63,2,3,ACEPTABLE,17786,2023-04-05T00:00:00Z
64,5,5,EXCELENTE,6880820,2021-10-10T00:00:00Z
65,4,3,MUY BUENO,18284,2022-10-11T00:00:00Z
66,3,3,MUY BUENO,8914015,2023-02-12T00:00:00Z
67,1,1,DEFICIENTE,16986,2023-05-03T00:00:00Z
68,2,1,REGULAR,7882665,2023-02-03T00:00:00Z
69,5,5,EXCELENTE,17378,2021-08-15T00:00:00Z
70,3,2,ACEPTABLE,17511,2023-10-13T00:00:00Z
71,5,4,EXCELENTE,16767,2021-07-16T00:00:00Z
72,3,3,MUY BUENO,18168,2021-07-25T00:00:00Z
73,5,4,EXCELENTE,18091,2022-01-09T00:00:00Z
74,3,3,MUY BUENO,5653963,2022-08-15T00:00:00Z
75,2,1,REGULAR,17200,2022-01-18T00:00:00Z
76,5,5,EXCELENTE,16969,2023-10-14T00:00:00Z
77,2,3,ACEPTABLE,17266,2022-02-25T00:00:00Z
78,5,5,EXCELENTE,7245849,2022-09-23T00:00:00Z
79,1,2,REGULAR,17283,2023-02-24T00:00:00Z
80,4,4,EXCELENTE,17938,2021-10-18T00:00:00Z
81,4,4,EXCELENTE,17289,2023-12-08T00:00:00Z
82,1,1,DEFICIENTE,17063,2023-09-30T00:00:00Z
83,1,1,DEFICIENTE,18327,2022-03-18T00:00:00Z
84,5,5,EXCELENTE,17549,2023-03-31T00:00:00Z
85,5,5,EXCELENTE,18584,2023-06-08T00:00:00Z
86,1,1,DEFICIENTE,5237134,2023-07-31T00:00:00Z
87,2,3,ACEPTABLE,18454,2021-10-04T00:00:00Z
88,1,2,REGULAR,18074,2022-03-11T00:00:00Z
89,2,2,ACEPTABLE,17779,2023-02-08T00:00:00Z
90,4,3,MUY BUENO,18021,2022-04-27T00:00:00Z
91,1,2,REGULAR,18534,2021-08-05T00:00:00Z
92,1,1,DEFICIENTE,5237132,2023-03-25T00:00:00Z
93,1,2,REGULAR,17977,2023-04-18T00:00:00Z
94,2,2,ACEPTABLE,18615,2022-03-16T00:00:00Z
95,1,2,REGULAR,17030,2023-10-27T00:00:00Z
96,2,3,ACEPTABLE,16840,2023-09-11T00:00:00Z
97,3,4,MUY BUENO,16855,2023-11-01T00:00:00Z
98,3,4,MUY BUENO,17996,2022-07-01T00:00:00Z
99,4,4,EXCELENTE,17418,2022-09-12T00:00:00Z
100,3,4,MUY BUENO,17447,2021-01-14T00:00:00Z
101,3,2,ACEPTABLE,5653899,2022-05-10T00:00:00Z
102,3,3,MUY BUENO,4749894,2021-06-08T00:00:00Z
103,2,3,ACEPTABLE,17848,2023-11-18T00:00:00Z
104,1,1,DEFICIENTE,52192,2022-09-29T00:00:00Z
105,4,3,MUY BUENO,17378,2023-05-24T00:00:00Z
106,5,4,EXCELENTE,7180264,2023-12-12T00:00:00Z
107,1,1,DEFICIENTE,18232,2022-07-27T00:00:00Z
108,2,3,ACEPTABLE,16741,2021-08-04T00:00:00Z
109,2,3,ACEPTABLE,18569,2023-11-24T00:00:00Z
110,2,3,ACEPTABLE,17851,2021-05-25T00:00:00Z
111,3,3,MUY BUENO,52095,2021-04-17T00:00:00Z
112,1,1,DEFICIENTE,16696,2022-05-17T00:00:00Z
113,1,2,REGULAR,17813,2021-08-16T00:00:00Z
114,5,5,EXCELENTE,17933,2022-07-13T00:00:00Z
115,4,3,MUY BUENO,17375,2023-04-06T00:00:00Z
116,4,5,EXCELENTE,52214,2022-05-27T00:00:00Z
117,5,5,EXCELENTE,17755,2021-12-25T00:00:00Z
118,5,5,EXCELENTE,18331,2022-01-08T00:00:00Z
119,2,3,ACEPTABLE,17560,2022-05-22T00:00:00Z
120,2,2,ACEPTABLE,16966,2021-08-10T00:00:00Z
121,4,3,MUY BUENO,17007,2023-03-30T00:00:00Z
122,2,1,REGULAR,3569210,2023-11-16T00:00:00Z
123,4,5,EXCELENTE,7021749,2023-09-04T00:00:00Z
124,4,3,MUY BUENO,3568708,2021-04-13T00:00:00Z
125,4,5,EXCELENTE,4988273,2021-05-05T00:00:00Z
126,3,2,ACEPTABLE,7886327,2022-11-21T00:00:00Z
127,1,2,REGULAR,18497,2022-02-02T00:00:00Z
128,4,5,EXCELENTE,17760,2022-08-21T00:00:00Z
129,1,1,DEFICIENTE,17613,2022-03-10T00:00:00Z
130,5,4,EXCELENTE,18212,2023-12-31T00:00:00Z
131,4,4,EXCELENTE,17983,2023-01-23T00:00:00Z
132,1,1,DEFICIENTE,7165658,2021-09-24T00:00:00Z
133,1,1,DEFICIENTE,5219935,2022-11-03T00:00:00Z
134,2,1,REGULAR,52078,2023-10-27T00:00:00Z
135,4,3,MUY BUENO,17390,2021-04-16T00:00:00Z
136,3,2,ACEPTABLE,17476,2021-12-31T00:00:00Z
137,2,3,ACEPTABLE,5237130,2022-03-25T00:00:00Z
138,3,4,MUY BUENO,5071591,2021-11-28T00:00:00Z
139,4,5,EXCELENTE,17290,2022-08-16T00:00:00Z
140,4,3,MUY BUENO,52229,2023-03-11T00:00:00Z
141,2,3,ACEPTABLE,5653899,2022-05-24T00:00:00Z
142,3,4,MUY BUENO,9049652,2023-02-13T00:00:00Z
143,4,3,MUY BUENO,18391,2023-12-05T00:00:00Z
144,5,5,EXCELENTE,16967,2022-12-20T00:00:00Z
145,5,4,EXCELENTE,18479,2021-09-28T00:00:00Z
146,1,2,REGULAR,16915,2022-12-04T00:00:00Z
147,2,1,REGULAR,17830,2021-10-01T00:00:00Z
148,5,5,EXCELENTE,17961,2023-02-01T00:00:00Z
149,1,1,DEFICIENTE,16897,2022-09-18T00:00:00Z
150,4,3,MUY BUENO,7129053,2022-08-01T00:00:00Z
151,3,3,MUY BUENO,18268,2023-04-29T00:00:00Z
152,5,5,EXCELENTE,52223,2023-04-29T00:00:00Z
153,5,5,EXCELENTE,17735,2023-11-06T00:00:00Z
154,1,1,DEFICIENTE,18466,2022-08-26T00:00:00Z
155,1,1,DEFICIENTE,7928004,2022-05-16T00:00:00Z
156,2,3,ACEPTABLE,17465,2021-01-06T00:00:00Z
157,3,2,ACEPTABLE,7356654,2021-06-29T00:00:00Z
158,2,1,REGULAR,5158861,2021-01-10T00:00:00Z
159,1,2,REGULAR,7182466,2021-10-12T00:00:00Z
160,4,4,EXCELENTE,17060,2021-05-25T00:00:00Z
161,5,5,EXCELENTE,17009,2022-11-19T00:00:00Z
162,1,2,REGULAR,16671,2022-08-20T00:00:00Z
163,2,1,REGULAR,17016,2023-06-03T00:00:00Z
164,1,1,DEFICIENTE,17278,2023-04-05T00:00:00Z
165,1,1,DEFICIENTE,3531279,2021-10-16T00:00:00Z
166,4,4,EXCELENTE,7356654,2022-05-11T00:00:00Z
167,2,1,REGULAR,461342,2021-07-01T00:00:00Z
168,2,1,REGULAR,18545,2021-07-30T00:00:00Z
169,5,4,EXCELENTE,7356671,2023-01-16T00:00:00Z
170,3,2,ACEPTABLE,5240107,2021-10-22T00:00:00Z
171,1,2,REGULAR,16743,2023-06-22T00:00:00Z
172,2,2,ACEPTABLE,16892,2022-02-06T00:00:00Z
173,3,4,MUY BUENO,18416,2022-06-21T00:00:00Z
174,5,5,EXCELENTE,17530,2023-08-08T00:00:00Z
175,3,3,MUY BUENO,4986142,2022-02-04T00:00:00Z
176,4,3,MUY BUENO,8799540,2022-09-08T00:00:00Z
177,4,5,EXCELENTE,52219,2022-08-09T00:00:00Z
178,5,4,EXCELENTE,7126585,2022-12-21T00:00:00Z
179,2,1,REGULAR,17039,2021-03-06T00:00:00Z
180,5,5,EXCELENTE,17847,2022-12-18T00:00:00Z
181,5,5,EXCELENTE,5219920,2021-05-13T00:00:00Z
182,2,2,ACEPTABLE,18325,2021-07-12T00:00:00Z
183,4,4,EXCELENTE,17432,2023-11-20T00:00:00Z
184,2,2,ACEPTABLE,18520,2022-11-22T00:00:00Z
185,1,1,DEFICIENTE,5240286,2023-06-15T00:00:00Z
186,1,1,DEFICIENTE,17199,2021-05-23T00:00:00Z
187,3,3,MUY BUENO,18060,2023-04-13T00:00:00Z
188,4,3,MUY BUENO,18055,2023-10-28T00:00:00Z
189,4,4,EXCELENTE,17225,2021-09-30T00:00:00Z
190,1,1,DEFICIENTE,17037,2021-01-03T00:00:00Z
191,3,2,ACEPTABLE,5237123,2022-01-21T00:00:00Z
192,4,4,EXCELENTE,17855,2023-12-21T00:00:00Z
193,3,4,MUY BUENO,7247843,2021-02-15T00:00:00Z
194,4,5,EXCELENTE,16700,2022-05-21T00:00:00Z
195,1,2,REGULAR,52223,2021-02-15T00:00:00Z
196,3,2,ACEPTABLE,17511,2022-12-19T00:00:00Z
197,2,3,ACEPTABLE,18004,2022-01-02T00:00:00Z
198,3,2,ACEPTABLE,5056315,2023-05-07T00:00:00Z
199,2,3,ACEPTABLE,17694,2021-07-04T00:00:00Z
200,5,5,EXCELENTE,17150,2022-08-21T00:00:00Z
201,3,3,MUY BUENO,52135,2021-12-27T00:00:00Z
202,2,2,ACEPTABLE,52045,2021-07-19T00:00:00Z
203,1,1,DEFICIENTE,18164,2021-02-09T00:00:00Z
204,1,1,DEFICIENTE,18165,2023-07-28T00:00:00Z
205,2,1,REGULAR,18152,2021-02-10T00:00:00Z
206,1,2,REGULAR,17145,2021-02-01T00:00:00Z
207,3,3,MUY BUENO,8914013,2022-01-29T00:00:00Z
208,1,1,DEFICIENTE,17482,2023-05-14T00:00:00Z
209,3,3,MUY BUENO,52175,2022-05-10T00:00:00Z
210,2,2,ACEPTABLE,17052,2022-07-07T00:00:00Z
211,5,5,EXCELENTE,18377,2023-05-28T00:00:00Z
212,3,3,MUY BUENO,52224,2022-10-31T00:00:00Z
213,2,2,ACEPTABLE,18069,2023-02-06T00:00:00Z
214,3,2,ACEPTABLE,17992,2022-02-08T00:00:00Z
215,1,1,DEFICIENTE,18347,2021-07-17T00:00:00Z
216,1,1,DEFICIENTE,18068,2021-12-30T00:00:00Z
217,1,1,DEFICIENTE,17537,2023-12-01T00:00:00Z
218,2,1,REGULAR,18110,2023-08-27T00:00:00Z
219,1,2,REGULAR,18372,2023-11-28T00:00:00Z
220,2,2,ACEPTABLE,17208,2022-09-03T00:00:00Z
221,3,4,MUY BUENO,461342,2023-04-11T00:00:00Z
222,3,4,MUY BUENO,17515,2021-01-17T00:00:00Z
