AMBITO_NOMBRE,EMBALSE_NOMBRE,FECHA,AGUA_TOTAL,AGUA_ACTUAL,ELECTRICO_FLAG
"Miño - Sil","Bao","01/05/88 00:00:00","238,00","198,00",1
"Miño - Sil","Bao","01/12/88 00:00:00","238,00","210,00",1
"Miño - Sil","Bao","01/19/88 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","01/26/88 00:00:00","238,00","189,00",1
"Miño - Sil","Bao","02/02/88 00:00:00","238,00","221,00",1
"Miño - Sil","Bao","02/09/88 00:00:00","238,00","226,00",1
"Miño - Sil","Bao","02/16/88 00:00:00","238,00","218,00",1
"Miño - Sil","Bao","02/23/88 00:00:00","238,00","209,00",1
"Miño - Sil","Bao","03/01/88 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","03/08/88 00:00:00","238,00","185,00",1
"Miño - Sil","Bao","03/15/88 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","03/22/88 00:00:00","238,00","183,00",1
"Miño - Sil","Bao","03/29/88 00:00:00","238,00","183,00",1
"Miño - Sil","Bao","04/05/88 00:00:00","238,00","183,00",1
"Miño - Sil","Bao","04/12/88 00:00:00","238,00","186,00",1
"Miño - Sil","Bao","04/19/88 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","04/26/88 00:00:00","238,00","210,00",1
"Miño - Sil","Bao","05/03/88 00:00:00","238,00","225,00",1
"Miño - Sil","Bao","05/10/88 00:00:00","238,00","221,00",1
"Miño - Sil","Bao","05/17/88 00:00:00","238,00","214,00",1
"Miño - Sil","Bao","05/24/88 00:00:00","238,00","209,00",1
"Miño - Sil","Bao","05/31/88 00:00:00","238,00","208,00",1
"Miño - Sil","Bao","06/07/88 00:00:00","238,00","216,00",1
"Miño - Sil","Bao","06/14/88 00:00:00","238,00","224,00",1
"Miño - Sil","Bao","06/21/88 00:00:00","238,00","226,00",1
"Miño - Sil","Bao","06/28/88 00:00:00","238,00","218,00",1
"Miño - Sil","Bao","07/05/88 00:00:00","238,00","209,00",1
"Miño - Sil","Bao","07/12/88 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","07/19/88 00:00:00","238,00","207,00",1
"Miño - Sil","Bao","07/26/88 00:00:00","238,00","209,00",1
"Miño - Sil","Bao","08/02/88 00:00:00","238,00","213,00",1
"Miño - Sil","Bao","08/09/88 00:00:00","238,00","213,00",1
"Miño - Sil","Bao","08/16/88 00:00:00","238,00","211,00",1
"Miño - Sil","Bao","08/23/88 00:00:00","238,00","215,00",1
"Miño - Sil","Bao","08/30/88 00:00:00","238,00","220,00",1
"Miño - Sil","Bao","09/06/88 00:00:00","238,00","225,00",1
"Miño - Sil","Bao","09/13/88 00:00:00","238,00","225,00",1
"Miño - Sil","Bao","09/20/88 00:00:00","238,00","211,00",1
"Miño - Sil","Bao","09/27/88 00:00:00","238,00","192,00",1
"Miño - Sil","Bao","10/04/88 00:00:00","238,00","180,00",1
"Miño - Sil","Bao","10/11/88 00:00:00","238,00","161,00",1
"Miño - Sil","Bao","10/18/88 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","10/25/88 00:00:00","238,00","155,00",1
"Miño - Sil","Bao","11/01/88 00:00:00","238,00","151,00",1
"Miño - Sil","Bao","11/08/88 00:00:00","238,00","148,00",1
"Miño - Sil","Bao","11/15/88 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","11/22/88 00:00:00","238,00","141,00",1
"Miño - Sil","Bao","11/29/88 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","12/06/88 00:00:00","238,00","141,00",1
"Miño - Sil","Bao","12/13/88 00:00:00","238,00","140,00",1
"Miño - Sil","Bao","12/20/88 00:00:00","238,00","139,00",1
"Miño - Sil","Bao","12/27/88 00:00:00","238,00","139,00",1
"Miño - Sil","Bao","01/03/89 00:00:00","238,00","140,00",1
"Miño - Sil","Bao","01/10/89 00:00:00","238,00","140,00",1
