"EMBALSE_NOMBRE";"FECHA";"AGUA_TOTAL";"AGUA_ACTUAL";"AÑO";"SEMANA";"Cambio_semanal";"Tasa_cambio";"Promedio_4_semanas";"AGUA_SIGUIENTE_SEMANA"
"Bao";1988-01-05 01:00:00;238.0;198.0;1988;1;;;;210.0
"Bao";1988-01-12 01:00:00;238.0;210.0;1988;2;12.0;6.0606060606060606;;199.0
"Bao";1988-01-19 01:00:00;238.0;199.0;1988;3;-11.0;-5.238095238095238;;189.0
"Bao";1988-01-26 01:00:00;238.0;189.0;1988;4;-10.0;-5.025125628140704;199.0;221.0
"Bao";1988-02-02 01:00:00;238.0;221.0;1988;5;32.0;16.93121693121693;204.75;226.0
"Bao";1988-02-09 01:00:00;238.0;226.0;1988;6;5.0;2.262443438914027;208.75;218.0
"Bao";1988-02-16 01:00:00;238.0;218.0;1988;7;-8.0;-3.5398230088495577;213.5;209.0
"Bao";1988-02-23 01:00:00;238.0;209.0;1988;8;-9.0;-4.128440366972478;218.5;199.0
"Bao";1988-03-01 01:00:00;238.0;199.0;1988;9;-10.0;-4.784688995215311;213.0;185.0
"Bao";1988-03-08 01:00:00;238.0;185.0;1988;10;-14.0;-7.035175879396985;202.75;181.0
"Bao";1988-03-15 01:00:00;238.0;181.0;1988;11;-4.0;-2.1621621621621623;193.5;183.0
"Bao";1988-03-22 01:00:00;238.0;183.0;1988;12;2.0;1.1049723756906076;187.0;183.0
"Bao";1988-03-29 02:00:00;238.0;183.0;1988;13;0.0;0.0;183.0;183.0
"Bao";1988-04-05 02:00:00;238.0;183.0;1988;14;0.0;0.0;182.5;186.0
"Bao";1988-04-12 02:00:00;238.0;186.0;1988;15;3.0;1.639344262295082;183.75;193.0
"Bao";1988-04-19 02:00:00;238.0;193.0;1988;16;7.0;3.763440860215054;186.25;210.0
"Bao";1988-04-26 02:00:00;238.0;210.0;1988;17;17.0;8.808290155440414;193.0;225.0
"Bao";1988-05-03 02:00:00;238.0;225.0;1988;18;15.0;7.142857142857142;203.5;221.0
"Bao";1988-05-10 02:00:00;238.0;221.0;1988;19;-4.0;-1.7777777777777777;212.25;214.0
"Bao";1988-05-17 02:00:00;238.0;214.0;1988;20;-7.0;-3.167420814479638;217.5;209.0
"Bao";1988-05-24 02:00:00;238.0;209.0;1988;21;-5.0;-2.336448598130841;217.25;208.0
"Bao";1988-05-31 02:00:00;238.0;208.0;1988;22;-1.0;-0.4784688995215311;213.0;216.0
"Bao";1988-06-07 02:00:00;238.0;216.0;1988;23;8.0;3.8461538461538463;211.75;224.0
"Bao";1988-06-14 02:00:00;238.0;224.0;1988;24;8.0;3.7037037037037033;214.25;226.0
"Bao";1988-06-21 02:00:00;238.0;226.0;1988;25;2.0;0.8928571428571428;218.5;218.0
"Bao";1988-06-28 02:00:00;238.0;218.0;1988;26;-8.0;-3.5398230088495577;221.0;209.0
"Bao";1988-07-05 02:00:00;238.0;209.0;1988;27;-9.0;-4.128440366972478;219.25;205.0
